downstream,best_logP
-225000,1.10299487158
-175000,3.47056527101
-125000,5.69636501502
-75000,5.97611650597
-50000,7.72350498166
-25000,12.2611518881
-14000,14.3195797192
-13000,13.8622473804
-8000,14.3592214443
-5000,14.5550087689
-2000,17.9010194886
-1000,18.0682117278
0,17.5471875535
1000,21.2628307103
2000,21.596120213
3000,23.4008100567
4000,26.7593650551
5000,27.3021876447
6000,27.1304083644
7000,26.3348950647
8000,25.9519749124
9000,24.6096571017
10000,25.1576859684
11000,25.2997959373
12000,25.1249209062
13000,24.8529224968
14000,23.3459692654
15000,23.2337654605
16000,22.8740396489
17000,21.7458082698
18000,21.5882698393
19000,21.2647245254
22000,19.9914496676
23000,18.9597706421
25000,19.2999121071
28000,18.0379172605
34000,16.567101005
35000,16.1135350108
47000,15.298006342
50000,13.9331892416
59000,11.7426141857
71000,12.3932199689
75000,13.2003565023
100000,11.9359827459
125000,11.5385156595
175000,9.6203002156
225000,8.82002284963
