height,best_logP
0.5,26.5054530907
1.5,26.071023358
2.5,26.7488670114
3.5,27.1304083644
4.5,24.8971892541
1.0,26.077882592
2.0,27.3021876447
3.0,26.7189152269
4.0,25.9677333448
5.0,26.7593650551
6.0,25.6662372543
8.0,21.1339163927
10.0,19.9789848104
11.0,18.5893729943
12.0,18.560213767
14.0,17.449113008
16.0,16.4054842667
21.0,15.0125437303
26.0,12.8309016012
31.0,12.231949129
41.0,10.2901297152
51.0,8.3618146598
71.0,5.2927746574
91.0,7.13934532357
111.0,5.66447324908
131.0,4.30955029082
151.0,2.9070417129
171.0,1.38179857783
191.0,1.10299487158
