upstream,best_logP
-225000,9.32268013569
-175000,9.58896959571
-125000,11.5213816304
-100000,11.9090676005
-75000,14.1125943525
-50000,17.3099162561
-38000,18.247883359
-27000,20.0476007617
-26000,19.7396241345
-25000,17.5471875535
-21000,19.9145590214
-18000,20.1101280495
-15000,20.8651159819
-14000,20.5730110587
-12000,22.0630917649
-9000,22.5998326374
-6000,23.3778430333
-5000,23.9001372436
-4000,23.4899456166
-3000,23.109507162
-2000,23.2213327978
-1000,23.4008100567
0,25.5874218426
1000,26.7593650551
2000,27.3021876447
3000,23.9053496352
4000,18.3894858306
5000,19.133752926
6000,18.6043571359
9000,18.2616610199
10000,14.6632528035
15000,13.5340101031
21000,12.0695516647
22000,12.3481049345
25000,13.3909941476
34000,13.0699934026
46000,13.1999298269
50000,9.22173303565
75000,8.83311544435
125000,5.64151729386
175000,3.76750023287
225000,0.301029995664
