downstream,best_logP
-225000,1.10299487158
-175000,3.837810329
-125000,6.06770147169
-75000,6.49340676602
-50000,7.29058321927
-25000,11.8643644078
-14000,15.6442621032
-13000,15.2493315948
-8000,15.9754344912
-2000,18.7631008747
-1000,18.7734388312
0,19.4725372896
1000,21.6916445067
2000,22.6742676493
3000,23.4749315274
4000,27.2195520939
5000,28.5955423362
6000,28.516613794
7000,28.1250020591
8000,26.8820575374
9000,25.2618160419
10000,25.5307462023
11000,25.5236360143
12000,25.6155920101
13000,25.5837366839
16000,24.5165352288
19000,23.4502772209
22000,22.7946836548
23000,21.589111457
25000,21.6753225613
28000,20.6350341046
34000,19.9787460454
35000,19.6486360305
47000,19.4816244122
50000,19.1318077759
59000,17.930477205
71000,17.7221740597
75000,17.4406867783
100000,16.5963683775
125000,15.5710042209
175000,13.3650487542
225000,11.3696733112
