height,best_logP
0.5,27.247072878
1.5,27.9859019388
2.5,28.516613794
3.5,28.1155235752
1.0,27.7766209147
2.0,28.5955423362
3.0,28.2868096188
4.0,27.069377102
5.0,27.2195520939
6.0,26.0277848178
8.0,22.1035261766
10.0,20.4396742932
11.0,20.513793415
12.0,19.430674297
14.0,18.6450917413
16.0,17.4888665106
21.0,15.4930760198
26.0,12.9268696775
31.0,11.5751245005
41.0,10.2151378047
51.0,8.67948870619
71.0,5.32086203669
91.0,7.26187898312
111.0,5.6680272616
131.0,4.33143890621
151.0,2.9070417129
171.0,1.38179857783
191.0,1.10299487158
