upstream,best_logP
-225000,11.9532607504
-175000,13.7032155546
-125000,14.6240932983
-100000,15.0208133902
-75000,17.2183236477
-50000,20.0002389106
-38000,21.1281454027
-27000,21.9129466737
-26000,21.8807551125
-25000,20.6443987813
-21000,21.3881484392
-15000,21.890532762
-14000,21.7170091882
-12000,22.3629759407
-9000,23.227602842
-6000,24.6431966725
-5000,24.5202562327
-4000,24.3535442767
-3000,24.7296877306
-2000,24.8030133348
-1000,24.9353090882
0,26.5209078422
1000,27.2195520939
2000,28.5955423362
3000,25.5204423352
4000,21.657766112
5000,20.9442999664
6000,21.0514055188
9000,20.0979778196
10000,15.9592558806
15000,15.2399239503
21000,13.3290977035
22000,13.7158291073
25000,13.8777806993
34000,14.3051604032
46000,12.6415809947
50000,8.79895493252
75000,8.41373328621
125000,4.70727863489
175000,3.57635131172
225000,0.301029995664
