downstream,best_logP
-225000,1.10299487158
-175000,3.82959573724
-125000,6.09960931388
-75000,6.27887264384
-50000,7.487646875
-25000,11.3952821796
-14000,15.2731584593
-13000,14.4114830433
-8000,15.2789633912
-2000,18.5892747535
-1000,18.6966366577
0,20.0038124238
1000,22.589328614
2000,24.2285809908
3000,25.6247986417
4000,28.3267137214
5000,30.4041543551
6000,30.8672637423
7000,30.0496344925
8000,30.0595050627
9000,27.5057127446
10000,28.0936452878
11000,27.9871630334
12000,27.7291734813
13000,27.7791084107
16000,26.9410170092
19000,26.3652912764
22000,26.1072745303
23000,25.3516045714
25000,24.0852301769
28000,24.2697687513
34000,22.9973481673
35000,22.4803269746
47000,21.6017662427
50000,21.3452235942
59000,20.2050526261
71000,19.1753764923
75000,18.8343968681
100000,17.3236320905
125000,15.9863509246
175000,13.8866649452
225000,11.9321596767
