height,best_logP
0.5,29.6761128186
1.5,29.7988179521
2.5,30.3244904891
3.5,29.6360824959
1.0,29.1790083113
2.0,30.8672637423
3.0,29.8803433705
4.0,28.4527865673
5.0,28.3267137214
6.0,27.47897857
8.0,23.9797681741
10.0,22.1117339651
11.0,21.9060078042
12.0,20.6392000631
14.0,19.2612653395
16.0,18.0675486305
21.0,15.8555803628
26.0,13.0740737551
31.0,11.6025218761
41.0,10.2756856804
51.0,8.68827583897
71.0,5.32313143008
91.0,7.23524468694
111.0,5.66446077494
131.0,4.32975513252
151.0,2.9070417129
171.0,1.38179857783
191.0,1.10299487158
