upstream,best_logP
-225000,12.2092835611
-175000,13.7676071494
-125000,15.3654975239
-100000,16.4018713282
-75000,18.6177380911
-50000,21.4009001059
-38000,21.7362300985
-27000,24.1748009739
-26000,23.5989928185
-25000,23.5070455199
-21000,23.8439387215
-15000,23.9062001407
-14000,23.7062842965
-12000,24.8644410802
-9000,25.6336248012
-6000,27.5975303247
-5000,27.7120978996
-4000,28.0550994025
-3000,28.7067787828
-2000,29.1478558538
-1000,29.1982130324
0,29.6761128186
1000,29.1243619872
2000,30.8672637423
3000,26.5049118466
4000,24.0837441065
5000,22.8087919774
6000,22.7529196636
9000,21.2975159152
10000,18.1389900195
15000,15.8842334911
21000,14.5957604785
22000,14.360617772
25000,14.4040652867
34000,14.0847101819
46000,13.4495325676
50000,8.41375242885
75000,8.01968092688
125000,4.78287873735
175000,3.46878383659
225000,0.301029995664
